Suite,Rows,State,Planner,work_mem,Query,Variant,n,Execution median ms,95% CI ms,p95 ms,CV,Speedup vs seq,Access,Planning median ms,Plan+execution median ms
scalar,5000000,clean,default,64MB,or_columns,gin,7,479.482,375.219–533.843,555.174,19.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.069,479.555
scalar,5000000,clean,default,64MB,or_columns,roaring,7,1.138,1.116–1.282,1.285,6.6%,—,LionCount,0.049,1.199
scalar,5000000,clean,default,64MB,or_columns,roaring_bitmap,7,404.695,325.181–467.053,487.706,18.4%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.045,404.737
scalar,5000000,clean,default,64MB,ordered_limit,btree,7,0.023,0.020–0.024,0.027,13.0%,—,Index Only Scan,0.071,0.095
scalar,5000000,clean,default,64MB,ordered_limit,gin,7,741.311,726.276–751.949,851.138,10.2%,—,Seq Scan (fallback),0.062,741.359
scalar,5000000,clean,default,64MB,ordered_limit,roaring,7,777.693,774.198–783.800,815.165,4.9%,—,Seq Scan (fallback),0.064,777.730
scalar,5000000,clean,default,64MB,ordered_limit,roaring_bitmap,7,705.759,677.215–777.496,824.108,8.8%,—,Seq Scan (fallback),0.062,705.825
scalar,5000000,clean,default,64MB,range_random,btree,7,1.717,1.625–1.786,2.481,22.5%,—,Index Only Scan,0.064,1.813
scalar,5000000,clean,default,64MB,range_random,gin,7,421.585,413.530–439.790,440.611,3.3%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.044,421.629
scalar,5000000,clean,default,64MB,range_random,roaring,7,0.733,0.667–0.853,0.918,13.9%,—,LionCount,0.047,0.780
scalar,5000000,clean,default,64MB,range_random,roaring_bitmap,7,170.578,134.597–179.086,198.220,40.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.067,170.645
scalar,5000000,dirty_scattered,default,64MB,and2,btree,7,119.323,19.113–180.662,216.011,75.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.069,119.392
scalar,5000000,dirty_scattered,default,64MB,and2,gin,7,174.081,170.880–200.986,232.431,15.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.077,174.177
scalar,5000000,dirty_scattered,default,64MB,and2,roaring,7,4.705,4.415–5.636,6.143,17.0%,—,LionCount,0.083,4.795
scalar,5000000,dirty_scattered,default,64MB,and2,roaring_bitmap,7,38.163,36.413–67.356,107.100,61.3%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.068,38.231
scalar,5000000,dirty_scattered,default,64MB,eq_c200_17,btree,7,6.331,4.915–7.992,8.199,21.3%,—,Index Only Scan,0.058,6.367
scalar,5000000,dirty_scattered,default,64MB,eq_c200_17,gin,7,101.101,21.690–147.544,175.688,70.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.066,101.161
scalar,5000000,dirty_scattered,default,64MB,eq_c200_17,roaring,7,5.726,5.084–5.996,6.298,9.6%,—,LionCount,0.070,5.821
scalar,5000000,dirty_scattered,default,64MB,eq_c200_17,roaring_bitmap,7,124.333,103.304–166.514,202.528,47.8%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.061,124.394
scalar,5000000,dirty_scattered,default,64MB,eq_c2_0,btree,7,722.533,653.463–738.665,741.269,9.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.048,722.596
scalar,5000000,dirty_scattered,default,64MB,eq_c2_0,gin,7,844.239,635.080–863.538,879.285,14.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.063,844.289
scalar,5000000,dirty_scattered,default,64MB,eq_c2_0,roaring,7,85.218,83.109–88.625,89.396,3.3%,—,LionCount,0.042,85.259
scalar,5000000,dirty_scattered,default,64MB,eq_c2_0,roaring_bitmap,7,666.307,584.314–724.096,729.151,13.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.060,666.349
scalar,5000000,dirty_scattered,default,64MB,group_c200,btree,7,971.438,959.554–978.229,1099.458,7.6%,—,Seq Scan (fallback),0.044,971.482
scalar,5000000,dirty_scattered,default,64MB,group_c200,gin,7,991.486,968.343–1004.550,1098.027,9.3%,—,Seq Scan (fallback),0.049,991.531
scalar,5000000,dirty_scattered,default,64MB,group_c200,roaring,7,312.068,302.977–318.119,322.069,2.9%,—,LionCount,0.039,312.129
scalar,5000000,dirty_scattered,default,64MB,group_c200,roaring_bitmap,7,980.590,943.160–1027.746,1034.138,7.6%,—,Seq Scan (fallback),0.049,980.639
scalar,5000000,dirty_scattered,prefer_index,64MB,group_c200,btree,7,1304.126,1296.509–1327.750,1465.982,6.3%,—,Index Only Scan,0.063,1304.188
scalar,5000000,dirty_scattered,prefer_index,64MB,group_c200,gin,7,1032.269,1005.072–1066.741,1232.664,10.1%,—,Seq Scan (fallback),0.056,1032.324
scalar,5000000,dirty_scattered,prefer_index,64MB,group_c200,roaring,7,302.155,299.938–311.912,311.913,2.1%,—,LionCount,0.063,302.218
scalar,5000000,dirty_scattered,prefer_index,64MB,group_c200,roaring_bitmap,7,964.047,957.609–974.284,975.242,0.8%,—,Seq Scan (fallback),0.054,964.099
scalar,5000000,low_work_mem,prefer_index,64kB,eq_c2_0,btree,7,160.364,158.879–162.749,166.703,2.1%,—,Index Only Scan,0.034,160.425
scalar,5000000,low_work_mem,prefer_index,64kB,eq_c2_0,gin,7,1026.704,820.522–1044.403,1097.138,12.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.049,1026.768
scalar,5000000,low_work_mem,prefer_index,64kB,eq_c2_0,roaring,7,1.780,1.770–1.954,2.084,7.7%,—,LionCount,0.043,1.827
scalar,5000000,low_work_mem,prefer_index,64kB,eq_c2_0,roaring_bitmap,7,877.332,714.050–902.676,965.282,12.7%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.060,877.392
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_and3,btree,7,142.987,141.220–149.126,150.501,2.9%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.053,143.038
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_and3,gin,7,385.740,259.138–413.945,427.562,21.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.094,385.805
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_and3,roaring,7,112.863,111.670–113.873,115.609,1.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.051,112.928
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_and3,roaring_bitmap,7,126.341,113.347–279.000,301.532,48.8%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.078,126.505
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_c1m,btree,7,0.028,0.027–0.033,0.036,14.9%,—,Index Scan,0.042,0.073
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_c1m,gin,7,0.314,0.291–0.420,0.476,46.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.097,0.517
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_c1m,roaring,7,0.032,0.030–0.035,0.048,24.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.041,0.073
