suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
scalar,5000000,roaring,clean,default,64MB,eq_c2_0,2,2.02,2.019,2.021,0.035,RoaringCount,,,,
scalar,5000000,roaring,clean,default,64MB,fetch_medium,2,17.3745,16.167,18.582,0.0365,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring,clean,default,64MB,group_c200,2,19.678,19.625,19.731,0.033,RoaringCount,,,,
scalar,5000000,roaring,clean,default,64MB,in_c20k_100,2,2.5265000000000004,2.454,2.599,0.11699999999999999,RoaringCount,,,,
scalar,5000000,roaring,clean,default,64MB,is_null,2,0.464,0.464,0.464,0.0315,RoaringCount,,,,
scalar,5000000,roaring,clean,default,64MB,range_random,2,721.793,720.145,723.441,0.035,Seq Scan,,,,
scalar,5000000,roaring,dirty_scattered,default,64MB,and2,2,2.661,1.761,3.561,0.057999999999999996,RoaringCount,,,,
scalar,5000000,roaring,dirty_scattered,default,64MB,eq_c200_17,2,0.125,0.109,0.141,0.0635,RoaringCount,,,,
scalar,5000000,roaring,dirty_scattered,default,64MB,eq_c2_0,2,532.4715000000001,514.546,550.397,0.066,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring,dirty_scattered,default,64MB,group_c200,2,911.3924999999999,882.334,940.451,0.035,Seq Scan,,,,
scalar,5000000,roaring,dirty_scattered,prefer_index,64MB,group_c200,2,21.18,20.073,22.287,0.035,RoaringCount,,,,
scalar,5000000,roaring_bitmap,after_maintenance,default,64MB,eq_c200_17,2,19.319,14.662,23.976,0.044,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,after_maintenance,default,64MB,group_c200,2,1088.8115,1037.14,1140.483,0.041999999999999996,Seq Scan,,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,and2,2,43.7335,39.905,47.562,0.0655,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,and3,2,15.236,12.558,17.914,0.068,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,eq_c200_17,2,113.78200000000001,20.991,206.573,0.047,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,eq_c20k_123,2,2.4565,2.044,2.869,0.0665,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,eq_c2_0,2,652.5840000000001,506.672,798.496,0.043,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,fetch_medium,2,129.7125,22.471,236.954,0.0605,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,group_c200,2,1012.8275000000001,995.841,1029.814,0.0535,Seq Scan,,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,in_c20k_100,2,225.888,223.553,228.223,0.094,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,is_null,2,532.4715,461.737,603.206,0.0375,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,range_random,2,533.7935,518.662,548.925,0.0435,Seq Scan,,,,
scalar,5000000,roaring_bitmap,dirty_scattered,default,64MB,and2,2,18.9595,16.364,21.555,0.0625,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,dirty_scattered,default,64MB,eq_c200_17,2,117.4735,18.521,216.426,0.0565,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,dirty_scattered,default,64MB,eq_c2_0,2,742.6055,702.826,782.385,0.034,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,dirty_scattered,default,64MB,group_c200,2,889.454,809.285,969.623,0.0435,Seq Scan,,,,
scalar,5000000,roaring_bitmap,dirty_scattered,prefer_index,64MB,group_c200,2,1058.1970000000001,1058.1,1058.294,0.0535,Seq Scan,,,,
