suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
scalar,5000000,roaring_bitmap,clean,default,64MB,eq_c20k_123,2,2.3874999999999997,1.757,3.018,0.057,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,eq_c2_0,2,617.3075,490.353,744.262,0.046,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,fetch_medium,2,127.818,18.667,236.969,0.061,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,group_c200,2,976.453,972.048,980.858,0.041999999999999996,Seq Scan,,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,in_c20k_100,2,224.8305,221.285,228.376,0.09,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,is_null,2,546.985,449.546,644.424,0.038,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,clean,default,64MB,range_random,2,511.04049999999995,483.098,538.983,0.0385,Seq Scan,,,,
scalar,5000000,roaring_bitmap,dirty_scattered,default,64MB,and2,2,39.4725,37.443,41.502,0.065,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,dirty_scattered,default,64MB,eq_c200_17,2,138.9255,69.504,208.347,0.0575,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,dirty_scattered,default,64MB,eq_c2_0,2,683.1635,648.265,718.062,0.041999999999999996,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,roaring_bitmap,dirty_scattered,default,64MB,group_c200,2,927.7825,841.509,1014.056,0.049,Seq Scan,,,,
scalar,5000000,roaring_bitmap,dirty_scattered,prefer_index,64MB,group_c200,2,960.9585,955.907,966.01,0.0745,Seq Scan,,,,
