2026-09-24 15:27:03.605 PDT [1877464] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.025 s, total=0.049 s; sync files=15, longest=0.011 s, average=0.002 s; distance=10423 kB, estimate=773195 kB; lsn=0/9D15AF90, redo lsn=0/9D15AF38
2026-09-24 15:27:07.527 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:27:07.573 PDT [1877464] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.026 s, total=0.046 s; sync files=15, longest=0.014 s, average=0.002 s; distance=14458 kB, estimate=697321 kB; lsn=0/9DF79868, redo lsn=0/9DF79810
2026-09-24 15:27:11.063 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:27:11.127 PDT [1877464] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.005 s, sync=0.034 s, total=0.064 s; sync files=15, longest=0.023 s, average=0.003 s; distance=31319 kB, estimate=630721 kB; lsn=0/9FE0F5D8, redo lsn=0/9FE0F580
2026-09-24 15:27:14.836 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:27:14.936 PDT [1877464] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 6 recycled; write=0.004 s, sync=0.058 s, total=0.100 s; sync files=15, longest=0.045 s, average=0.004 s; distance=84824 kB, estimate=576131 kB; lsn=0/A50E56F0, redo lsn=0/A50E5698
2026-09-24 15:27:17.798 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:27:17.835 PDT [1877464] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.018 s, total=0.038 s; sync files=15, longest=0.009 s, average=0.002 s; distance=5262 kB, estimate=519044 kB; lsn=0/A56091D0, redo lsn=0/A5609178
2026-09-24 15:28:51.019 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:28:51.514 PDT [1877464] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 23 recycled; write=0.004 s, sync=0.387 s, total=0.495 s; sync files=22, longest=0.368 s, average=0.018 s; distance=385961 kB, estimate=505736 kB; lsn=0/BCEF3830, redo lsn=0/BCEF37A0
2026-09-24 15:28:52.743 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:28:52.943 PDT [1877464] LOG:  checkpoint complete: wrote 18755 buffers (28.6%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 11 recycled; write=0.129 s, sync=0.013 s, total=0.200 s; sync files=10, longest=0.004 s, average=0.002 s; distance=181153 kB, estimate=473278 kB; lsn=0/C7FDBEB0, redo lsn=0/C7FDBE58
2026-09-24 15:28:54.619 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:28:54.836 PDT [1877464] LOG:  checkpoint complete: wrote 21638 buffers (33.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 14 recycled; write=0.129 s, sync=0.017 s, total=0.217 s; sync files=11, longest=0.005 s, average=0.002 s; distance=214388 kB, estimate=447389 kB; lsn=0/D51390A0, redo lsn=0/D5139048
2026-09-24 15:28:55.977 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:28:56.528 PDT [1877464] LOG:  checkpoint complete: wrote 28492 buffers (43.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 22 recycled; write=0.287 s, sync=0.154 s, total=0.552 s; sync files=3, longest=0.142 s, average=0.052 s; distance=374912 kB, estimate=440141 kB; lsn=0/EBF59220, redo lsn=0/EBF591C8
2026-09-24 15:29:23.447 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:29:24.239 PDT [1877464] LOG:  checkpoint complete: wrote 2074 buffers (3.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 86 recycled; write=0.025 s, sync=0.417 s, total=0.792 s; sync files=37, longest=0.385 s, average=0.012 s; distance=1394226 kB, estimate=1394226 kB; lsn=1/410E5C78, redo lsn=1/410E5C20
2026-09-24 15:29:25.498 PDT [1877464] LOG:  checkpoint starting: immediate force wait
