suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
scalar,1000000,roaring_bitmap,dirty_scattered,default,64MB,eq_c200_17,2,2.753,2.73,2.776,0.035500000000000004,"Bitmap Heap Scan, Bitmap Index Scan",2.7824999999999998,-1.0601976639712407,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,roaring_bitmap,dirty_scattered,default,64MB,eq_c2_0,2,66.17349999999999,62.568,69.779,0.0315,"Bitmap Heap Scan, Bitmap Index Scan",66.3565,-0.2757830807833539,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,roaring_bitmap,dirty_scattered,default,64MB,group_c200,2,140.1515,138.02,142.283,0.035500000000000004,Seq Scan,142.659,-1.7576879131355194,Seq Scan,False
scalar,1000000,roaring_bitmap,dirty_scattered,prefer_index,64MB,group_c200,2,145.09199999999998,144.763,145.421,0.0525,Seq Scan,139.688,3.868621499341396,Seq Scan,False
scalar,5000000,btree,after_maintenance,default,64MB,eq_c200_17,2,1.6615,1.642,1.681,0.0555,Index Only Scan,1.773,-6.2887760857303965,Index Only Scan,False
scalar,5000000,btree,after_maintenance,default,64MB,group_c200,2,432.4925,426.493,438.492,0.036500000000000005,Index Only Scan,464.946,-6.9800578991969005,Index Only Scan,False
scalar,5000000,btree,clean,default,64MB,and2,2,15.5885,13.66,17.517,0.07050000000000001,"Bitmap Heap Scan, Bitmap Index Scan",16.193,-3.7330945470265053,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,btree,clean,default,64MB,and3,2,13.883500000000002,13.326,14.441,0.0485,"Bitmap Heap Scan, Bitmap Index Scan",13.888,-0.03240207373270687,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,btree,clean,default,64MB,eq_c200_17,2,1.522,1.52,1.524,0.034,Index Only Scan,1.5295,-0.49035632559660813,Index Only Scan,False
scalar,5000000,btree,clean,default,64MB,eq_c20k_123,2,0.04,0.032,0.048,0.033,Index Only Scan,0.0325,23.076923076923084,Index Only Scan,False
scalar,5000000,btree,clean,default,64MB,eq_c2_0,2,166.32999999999998,165.396,167.264,0.034,Index Only Scan,167.1635,-0.4986136327607471,Index Only Scan,False
scalar,5000000,btree,clean,default,64MB,fetch_medium,2,15.44,14.276,16.604,0.04,"Bitmap Heap Scan, Bitmap Index Scan",18.3965,-16.07099176473786,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,btree,clean,default,64MB,group_c200,2,414.257,409.613,418.901,0.047,Index Only Scan,417.244,-0.7158880654964506,Index Only Scan,False
scalar,5000000,btree,clean,default,64MB,in_c20k_100,2,1.607,1.583,1.631,0.092,Index Only Scan,1.6355,-1.7425863650259887,Index Only Scan,False
scalar,5000000,btree,clean,default,64MB,is_null,2,33.9875,33.72,34.255,0.027999999999999997,Index Only Scan,36.3065,-6.387286023163908,Index Only Scan,False
scalar,5000000,btree,clean,default,64MB,range_random,2,1.9625,1.682,2.243,0.0665,Index Only Scan,1.5415,27.311060655205964,Index Only Scan,False
