2026-09-25 09:16:23.606 PDT [2049302] LOG:  checkpoint complete: wrote 4033 buffers (6.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.029 s, sync=0.015 s, total=0.069 s; sync files=10, longest=0.005 s, average=0.002 s; distance=33411 kB, estimate=145957 kB; lsn=0/437F5550, redo lsn=0/437F54F8
2026-09-25 09:16:23.865 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:23.937 PDT [2049302] LOG:  checkpoint complete: wrote 4436 buffers (6.8%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.033 s, sync=0.016 s, total=0.073 s; sync files=12, longest=0.005 s, average=0.002 s; distance=37781 kB, estimate=135140 kB; lsn=0/45CDA980, redo lsn=0/45CDA928
2026-09-25 09:16:24.071 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:24.235 PDT [2049302] LOG:  checkpoint complete: wrote 10364 buffers (15.8%), wrote 1 SLRU buffers; 0 WAL file(s) added, 2 removed, 3 recycled; write=0.113 s, sync=0.012 s, total=0.165 s; sync files=3, longest=0.009 s, average=0.004 s; distance=74984 kB, estimate=129124 kB; lsn=0/4A614C40, redo lsn=0/4A614BE8
2026-09-25 09:16:27.313 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:27.543 PDT [2049302] LOG:  checkpoint complete: wrote 2054 buffers (3.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 18 recycled; write=0.023 s, sync=0.120 s, total=0.230 s; sync files=30, longest=0.094 s, average=0.004 s; distance=299397 kB, estimate=299397 kB; lsn=0/5CA762C0, redo lsn=0/5CA76268
2026-09-25 09:16:28.107 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:28.145 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.019 s, total=0.038 s; sync files=15, longest=0.007 s, average=0.002 s; distance=2065 kB, estimate=269664 kB; lsn=0/5CC7AA70, redo lsn=0/5CC7AA18
2026-09-25 09:16:28.824 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:28.863 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.019 s, total=0.039 s; sync files=15, longest=0.007 s, average=0.002 s; distance=2150 kB, estimate=242913 kB; lsn=0/5CE94580, redo lsn=0/5CE94528
2026-09-25 09:16:29.557 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:29.601 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.021 s, total=0.044 s; sync files=15, longest=0.009 s, average=0.002 s; distance=2977 kB, estimate=218919 kB; lsn=0/5D17CB98, redo lsn=0/5D17CB40
2026-09-25 09:16:30.197 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:30.237 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.022 s, total=0.041 s; sync files=15, longest=0.009 s, average=0.002 s; distance=7190 kB, estimate=197746 kB; lsn=0/5D882498, redo lsn=0/5D882440
2026-09-25 09:16:31.112 PDT [2049302] LOG:  checkpoint starting: immediate force wait
