2026-09-24 19:06:12.336 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:06:12.785 PDT [1899916] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 25 recycled; write=0.005 s, sync=0.327 s, total=0.450 s; sync files=20, longest=0.313 s, average=0.017 s; distance=402107 kB, estimate=721737 kB; lsn=1/66265EB0, redo lsn=1/66265E58
2026-09-24 19:06:13.670 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:06:13.825 PDT [1899916] LOG:  checkpoint complete: wrote 14118 buffers (21.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 7 recycled; write=0.089 s, sync=0.024 s, total=0.156 s; sync files=10, longest=0.007 s, average=0.003 s; distance=122455 kB, estimate=661809 kB; lsn=1/6D9FBD00, redo lsn=1/6D9FBCA8
2026-09-24 19:06:16.389 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:06:16.575 PDT [1899916] LOG:  checkpoint complete: wrote 15990 buffers (24.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 7 removed, 2 recycled; write=0.100 s, sync=0.019 s, total=0.186 s; sync files=11, longest=0.006 s, average=0.002 s; distance=141847 kB, estimate=609813 kB; lsn=1/76481CF8, redo lsn=1/76481CA0
2026-09-24 19:06:18.602 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:06:19.296 PDT [1899916] LOG:  checkpoint complete: wrote 43606 buffers (66.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 4 removed, 19 recycled; write=0.505 s, sync=0.070 s, total=0.694 s; sync files=3, longest=0.060 s, average=0.024 s; distance=374912 kB, estimate=586323 kB; lsn=1/8D2A1E88, redo lsn=1/8D2A1E30
2026-09-24 19:06:41.504 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:06:42.168 PDT [1899916] LOG:  checkpoint complete: wrote 2069 buffers (3.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 89 recycled; write=0.027 s, sync=0.258 s, total=0.665 s; sync files=36, longest=0.229 s, average=0.008 s; distance=1460792 kB, estimate=1460792 kB; lsn=1/E65300F0, redo lsn=1/E6530098
2026-09-24 19:06:42.599 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:06:42.641 PDT [1899916] LOG:  checkpoint complete: wrote 692 buffers (1.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.008 s, sync=0.019 s, total=0.043 s; sync files=15, longest=0.007 s, average=0.002 s; distance=5348 kB, estimate=1315248 kB; lsn=1/E6A69488, redo lsn=1/E6A69430
2026-09-24 19:06:43.175 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:06:43.223 PDT [1899916] LOG:  checkpoint complete: wrote 917 buffers (1.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.011 s, sync=0.017 s, total=0.048 s; sync files=15, longest=0.006 s, average=0.002 s; distance=6965 kB, estimate=1184419 kB; lsn=1/E7136A88, redo lsn=1/E7136A30
2026-09-24 19:06:43.843 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:06:43.888 PDT [1899916] LOG:  checkpoint complete: wrote 1616 buffers (2.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.014 s, sync=0.016 s, total=0.046 s; sync files=15, longest=0.004 s, average=0.002 s; distance=10249 kB, estimate=1067002 kB; lsn=1/E7B38F10, redo lsn=1/E7B38EB8
2026-09-24 19:06:44.930 PDT [1899916] LOG:  checkpoint starting: immediate force wait
